# Time (s), Altitude AGL (m), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), Speed - Velocity Magnitude (m/s), Attitude Angle (°), Path Angle (°), Angle of Attack (°)
0.000000,0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.000000,85.000000,0.000000,89.011977
0.009766,0.003431,-0.000000,0.000300,1471.469509,0.000000,0.030737,0.351331,0.352673,85.000000,85.000000,80.810959
0.019532,0.010294,-0.000000,0.000901,1471.476372,0.000000,0.061483,0.702749,0.705433,85.000000,85.000000,72.968790
0.039063,0.030885,0.000000,0.002702,1471.496963,0.000000,0.122988,1.405761,1.411131,85.000000,85.000000,59.225702
0.058595,0.065211,0.000000,0.005705,1471.531289,-0.000000,0.184524,2.109122,2.117179,85.000000,85.000000,48.496494
0.078126,0.113277,0.000000,0.009910,1471.579355,0.000000,0.246091,2.812831,2.823575,85.000000,85.000000,40.416998
0.273441,1.351125,-0.000000,0.118208,1472.817204,-0.000000,0.863388,9.868572,9.906268,85.000000,85.000000,13.786987
0.468756,3.970294,0.000000,0.347356,1475.436372,0.000000,1.483525,16.956766,17.021538,85.000000,85.000000,8.147317
0.664071,7.976892,0.000000,0.697888,1479.442970,-0.000000,2.106317,24.075319,24.167282,85.000000,85.000000,5.768267
0.859386,13.376640,-0.000000,1.170304,1484.842718,-0.000000,2.731578,31.222077,31.341340,85.000000,85.000000,4.461640
0.908700,14.960912,0.000000,1.308910,1486.426990,0.000000,2.889814,33.030726,33.156898,85.000000,85.000000,4.204211
0.909981,15.003274,0.000000,1.312618,1486.469352,0.000140,2.894985,33.077628,33.204072,84.999993,84.998164,4.197986
0.911262,15.045696,0.000001,1.316332,1486.511775,0.000280,2.900157,33.124530,33.251247,84.999980,84.996334,4.191745
0.913823,15.130661,0.000002,1.323774,1486.596739,0.000560,2.910499,33.218337,33.345598,84.999940,84.992689,4.179248
0.916385,15.215866,0.000003,1.331242,1486.681944,0.000841,2.920842,33.312148,33.439954,84.999873,84.989065,4.166685
0.918946,15.301311,0.000006,1.338736,1486.767389,0.001121,2.931184,33.405963,33.534314,84.999779,84.985462,4.154055
0.944560,16.168982,0.000070,1.415140,1487.635060,0.003860,3.034628,34.344359,34.478166,84.997286,84.950521,4.024044
0.970174,17.060694,0.000200,1.494194,1488.526772,0.006271,3.138150,35.283184,35.422466,84.991745,84.917374,3.887113
0.995787,17.976459,0.000385,1.575901,1489.442537,0.008057,3.241821,36.222427,36.367206,84.982756,84.885773,3.743088
1.021401,18.916286,0.000605,1.660267,1490.382364,0.008920,3.345716,37.162078,37.312383,84.969810,84.855490,3.591884
1.084362,21.328806,0.001099,1.878990,1492.794884,0.005217,3.602559,39.473482,39.637536,84.917206,84.785324,3.189972
1.147324,23.886925,0.001014,2.113975,1495.353003,-0.010314,3.862515,41.787049,41.965183,84.826264,84.718950,2.747568
1.210285,26.590769,-0.000535,2.365461,1498.056847,-0.041910,4.126967,44.102496,44.295189,84.685620,84.653742,2.271311
1.273246,29.440446,-0.004681,2.633777,1500.906524,-0.093415,4.397352,46.419455,46.627366,84.486186,84.587261,1.772666
1.336207,32.436038,-0.012782,2.919341,1503.902116,-0.168056,4.675089,48.737485,48.961486,84.224323,84.517213,1.270366
1.399168,35.577596,-0.026376,3.222658,1507.043675,-0.268214,4.961507,51.056076,51.297284,83.904127,84.441508,0.800553
1.462129,38.865141,-0.047117,3.544313,1510.331219,-0.395209,5.257758,53.374735,53.634528,83.537987,84.358375,0.474482
1.525091,42.298660,-0.076703,3.884953,1513.764738,-0.549110,5.564726,55.692980,55.972991,83.145359,84.266536,0.541135
1.562834,44.426914,-0.099375,4.098546,1515.892992,-0.653784,5.754124,57.082339,57.375350,82.907176,84.207020,0.712547
1.600577,46.607601,-0.126164,4.319364,1518.073679,-0.767155,5.947629,58.471368,58.778088,82.673666,84.144145,0.897363
1.638320,48.840707,-0.157385,4.547563,1520.306786,-0.888503,6.145231,59.860050,60.181217,82.450353,84.078033,1.068434
1.676064,51.126221,-0.193323,4.783296,1522.592299,-1.016937,6.346866,61.248393,61.584758,82.242474,84.008925,1.213465
1.713807,53.464130,-0.234226,5.026714,1524.930208,-1.151404,6.552409,62.636440,62.988756,82.054765,83.937175,1.325673
1.754442,56.039750,-0.284047,5.297541,1527.505828,-1.301544,6.777859,64.130597,64.500906,81.879822,83.857505,1.405096
1.795078,58.676083,-0.340056,5.577612,1530.142161,-1.455643,7.007330,65.624621,66.013729,81.736811,83.776004,1.438781
1.835713,61.373126,-0.402378,5.867083,1532.839204,-1.611945,7.240458,67.118663,67.527310,81.628241,83.693462,1.425721
1.876349,64.130883,-0.471066,6.166094,1535.596961,-1.768638,7.476826,68.612901,69.041735,81.555102,83.610726,1.366727
1.916984,66.949367,-0.546098,6.474769,1538.415445,-1.923912,7.715974,70.107524,70.557088,81.516798,83.528667,1.264412
1.957620,69.828596,-0.627381,6.793210,1541.294674,-2.076029,7.957419,71.602704,72.073419,81.511176,83.448128,1.123189
1.998255,72.768597,-0.714754,7.121500,1544.234675,-2.223387,8.200669,73.098606,73.590765,81.534647,83.369889,0.949251
2.038891,75.769401,-0.807995,7.459704,1547.235479,-2.364595,8.445247,74.595357,75.109126,81.582412,83.294625,0.750609
2.079526,78.831045,-0.906829,7.807865,1550.297124,-2.498533,8.690708,76.093052,76.628478,81.648763,83.222875,0.537512
2.120162,81.953569,-1.010945,8.166012,1553.419648,-2.624411,8.936663,77.591740,78.148766,81.727459,83.155015,0.325321
2.160797,85.137014,-1.120004,8.534159,1556.603092,-2.741813,9.182794,79.091428,79.669914,81.812120,83.091240,0.160888
2.201433,88.381418,-1.233660,8.912306,1559.847497,-2.850729,9.428875,80.592086,81.191838,81.896583,83.031565,0.206751
